time/fps,time/time_elapsed,time/total_timesteps,time/iterations,time/rollout_time,time/train_time,train/learning_rate,train/n_updates,train/clip_range,train/clip_fraction,train/value_loss,train/clip_range_vf,train/explained_variance,train/std,train/approx_kl,train/policy_gradient_loss,train/loss,train/entropy_loss
1631,18963,30932992,472,36.35022854804993,1.1322994232177734,0.0001,4710,0.1,0.07142333984375,12.499035894870758,1000.0,0.9099147319793701,0.7340080738067627,0.0018956492,-0.0035654614912346005,6.325273513793945,-25.86196126937866
1631,19000,30998528,473,35.68435335159302,1.1386833190917969,0.0001,4720,0.1,0.0663055419921875,11.808398723602295,1000.0,0.9144551753997803,0.7331032752990723,0.001759625,-0.0035172319650882853,6.274298667907715,-25.838690543174742
1631,19037,31064064,474,36.01605939865112,1.1937012672424316,0.0001,4730,0.1,0.0698822021484375,10.462958526611327,1000.0,0.9254590272903442,0.7329139709472656,0.0018477761,-0.0036543830516166053,5.249605655670166,-25.81950001716614
1632,19074,31129600,475,35.42984628677368,1.135223627090454,0.0001,4740,0.1,0.07257080078125,11.6404949426651,1000.0,0.9185394644737244,0.7327547073364258,0.0020822939,-0.003358679737721104,5.492725372314453,-25.81248834133148
1632,19111,31195136,476,35.70295166969299,1.2280077934265137,0.0001,4750,0.1,0.07606658935546876,11.815734672546387,1000.0,0.9181760549545288,0.7318176627159119,0.001940828,-0.003707071000826545,5.435328006744385,-25.792782402038576
1632,19148,31260672,477,35.80941987037659,1.1584584712982178,0.0001,4760,0.1,0.071051025390625,11.79290931224823,1000.0,0.9176942706108093,0.7314904928207397,0.001849055,-0.003673359153617639,5.9103474617004395,-25.769807600975035
1632,19184,31326208,478,35.52466297149658,1.196579933166504,0.0001,4770,0.1,0.06786651611328125,12.262426364421845,1000.0,0.9123613834381104,0.7308949828147888,0.0018312839,-0.0033677788727800363,6.328719139099121,-25.755639386177062
1633,19221,31391744,479,35.40880870819092,1.1638271808624268,0.0001,4780,0.1,0.06586761474609375,13.014168953895568,1000.0,0.9092512726783752,0.730756402015686,0.0016744384,-0.003212612699280726,6.3531293869018555,-25.74273512363434
1633,19258,31457280,480,35.70521855354309,1.2666120529174805,0.0001,4790,0.1,0.0664276123046875,13.339684808254242,1000.0,0.9066576361656189,0.7303311228752136,0.0019770004,-0.0032324787345714865,6.815884590148926,-25.73093686103821
1633,19295,31522816,481,35.368117809295654,1.2140839099884033,0.0001,4800,0.1,0.07334442138671875,13.743158173561095,1000.0,0.9075531363487244,0.7297686338424683,0.0018838007,-0.0033974181438679806,6.749740123748779,-25.71236047744751
1634,19331,31588352,482,35.4297821521759,1.1961283683776855,0.0001,4810,0.1,0.0720428466796875,12.486250436306,1000.0,0.9146153926849365,0.7294329404830933,0.0018348789,-0.003602384946134407,6.263568878173828,-25.695027661323547
1634,19368,31653888,483,35.442267417907715,1.1937510967254639,0.0001,4820,0.1,0.07258148193359375,14.205496573448182,1000.0,0.898144543170929,0.7291101217269897,0.0019668646,-0.0034974197507835923,7.3089094161987305,-25.683233094215392
1634,19404,31719424,484,35.190661668777466,1.125260591506958,0.0001,4830,0.1,0.0724884033203125,13.694740426540374,1000.0,0.9070422053337097,0.7284826636314392,0.0019547257,-0.0035386093964916653,6.643874168395996,-25.665078783035277
1634,19441,31784960,485,35.83274745941162,1.1691360473632812,0.0001,4840,0.1,0.07468109130859375,13.07931512594223,1000.0,0.9069419503211975,0.728242039680481,0.0020460298,-0.0036413930167327633,6.641662120819092,-25.647805213928223
1635,19478,31850496,486,35.4087769985199,1.1422970294952393,0.0001,4850,0.1,0.07055816650390626,11.874585449695587,1000.0,0.9102125763893127,0.7278033494949341,0.0019384429,-0.0034359164812485686,5.8028244972229,-25.63721356391907
1635,19515,31916032,487,35.9238805770874,1.1496362686157227,0.0001,4860,0.1,0.0758636474609375,12.665835368633271,1000.0,0.909497857093811,0.7279044985771179,0.0022075805,-0.003679810868925415,6.35203218460083,-25.62865753173828
1635,19551,31981568,488,35.339590311050415,1.172408103942871,0.0001,4870,0.1,0.07545166015625,12.439746701717377,1000.0,0.9116441011428833,0.7272651195526123,0.0019571807,-0.003360649390378967,6.490572452545166,-25.616403436660768
1635,19588,32047104,489,35.910125494003296,1.2166306972503662,0.0001,4880,0.1,0.075433349609375,12.221030700206757,1000.0,0.9154409766197205,0.7272058725357056,0.0019671242,-0.003630849759792909,5.503169059753418,-25.602534461021424
1636,19625,32112640,490,35.40310621261597,1.1504311561584473,0.0001,4890,0.1,0.07669219970703126,13.133394300937653,1000.0,0.908870279788971,0.7266563177108765,0.0020281146,-0.00347686620807508,6.184497833251953,-25.587051129341127
1636,19661,32178176,491,35.09211730957031,1.2859776020050049,0.0001,4900,0.1,0.07791595458984375,12.353740990161896,1000.0,0.9134271740913391,0.7260698676109314,0.0019499583,-0.003580022189998999,5.437323093414307,-25.56506757736206
1636,19698,32243712,492,35.126930952072144,1.184096336364746,0.0001,4910,0.1,0.07022552490234375,13.011045336723328,1000.0,0.9057953357696533,0.7252119779586792,0.0018619548,-0.0032284804532537238,5.948556900024414,-25.539802145957946
1637,19734,32309248,493,35.30717635154724,1.1803672313690186,0.0001,4920,0.1,0.0719696044921875,12.6007350564003,1000.0,0.9138749837875366,0.7242648005485535,0.0019403861,-0.0038342326137353667,6.10629415512085,-25.50856442451477
1637,19771,32374784,494,35.51722550392151,1.0749003887176514,0.0001,4930,0.1,0.070550537109375,12.137209212779998,1000.0,0.9121934175491333,0.7236108183860779,0.0019461393,-0.003113512181880651,5.750422477722168,-25.48308777809143
1637,19807,32440320,495,35.39844107627869,1.1428329944610596,0.0001,4940,0.1,0.0729705810546875,13.9997642993927,1000.0,0.9060962200164795,0.7228823900222778,0.0020177444,-0.0034369276254437864,7.063098430633545,-25.457870173454285
1638,19844,32505856,496,35.07606482505798,1.1988279819488525,0.0001,4950,0.1,0.069024658203125,14.083189153671265,1000.0,0.9073213338851929,0.7227058410644531,0.0018286095,-0.0035030598810408264,6.722115516662598,-25.440929794311522
1638,19880,32571392,497,35.705222606658936,1.153371810913086,0.0001,4960,0.1,0.0690948486328125,12.105349934101104,1000.0,0.9216064810752869,0.7227391600608826,0.0019513974,-0.0033920195361133664,5.790838718414307,-25.439678859710693
1638,19917,32636928,498,35.24357771873474,1.193331003189087,0.0001,4970,0.1,0.06883392333984376,12.405322074890137,1000.0,0.9166765809059143,0.7225717306137085,0.0018363928,-0.003372879074595403,5.650532245635986,-25.43781473636627
